file name,title,goes_to,change_spotlight,comes_from,music,keyword,argument,question_A,question_B,goes_to_A,goes_to_B,goes_to_C,question_C
Abandoned horse in the forest - AGG 2025,Abandoned horse in the forest,"[[Meeting the Witch - AGG 2025]], [[Witches' ritual - AGG 2025]]",,[[Mistrust of animals - AGG 2025]],[[Erlkönig D328]],"[[horse]], [[natural spirit]], [[chase]]","Arriving at a clearing, the feeble light of dawn reveals a noble steed. Although richly bridled, there is no trace of a rider. Perhaps the lonely rider has lost his way, or was captured by the king of elves? Carefully approaching the horse, Sasha is unnerved by the distant sound of singing female voices. ",The character ignores the distant singing sounds and walks away  from the clearing.,"Intrigued by  the monotonous sounds, resembling the repetitive, yet mesmerizing, experience of church litanies, the character decides to dive again into the woods, eager to reveal the source of the singing.",[[Meeting the Witch - AGG 2025]],[[Witches' ritual - AGG 2025]],,
Ancient grave - AGG 2025,Ancient grave,[[Danse macabre - AGG 2025]],,[[Wandering through the ruins - AGG 2025]],[[Auf einer Burg Op. 39 n. 7]],"[[graveyard]], [[knight]], [[ruin]], [[castle]], [[decay]]","Wandering through the graveyard, a lone sepulchre draws the attention of our character. A decayed statue depicting a knight in armour has suffered centuries of erosion; a shadow of its former glory. The epitaph on the tomb tells the tale of a nobleman of old, tragically departing from our world on the day of his marriage.",Follow the story of Rune.,,[[Danse macabre - AGG 2025]],,,
Danse macabre - AGG 2025,Danse macabre,"[[Telling own story with a song - AGG 2025]], [[Falling unconscious from undead encounter - AGG 2025]]",[[Falling asleep - AGG 2025]],[[Ancient grave - AGG 2025]],[[Die Geister am Mummelsee IHW 22 n. 47]],"[[ghost]], [[grave]], [[dance macabre]]",The character witnesses a group of ghosts carrying a grave into a lake.,Turn the spotlight to Sasha.,"The character tries to rebuke the undead, reciting a prayer while holding a holy  symbol.",[[Falling asleep - AGG 2025]],[[Falling unconscious from undead encounter - AGG 2025]],,"Driven by primordial fear, the character flees from the ghost, driven by the ancestral terror for the uncanny. In the distance, an indistinguishable lonely figure seems to be the sole hope remaining."
Daydreaming about eternal love - AGG 2025,Daydreaming about eternal love,"[[Happy ending - AGG 2025]], [[Sad ending - AGG 2025]]",,"[[Witch's love enchantment - AGG 2025]], [[Moonlight -  AGG 2025]]",[[Frühlingsnacht Op. 39 no. 12]],"[[happiness]], [[joy]]",Cheerful songbirds and blooming flowers appear. The appearance of spring brings comfort and hope to our character. But are the comforts of nature and the dreams of the beloved only an illusion?,"The character proceeds to the prefixed rendezvous, a lonely  milestone lying at a crossroad at the edge of the great forest, confident to meet their loved one there.","This brief journey  has irreversibly  altered their spirit, leading to doubt and despair. Their beloved one has forgotten them, or even worse, did not survive the perilous quest.",[[Happy ending - AGG 2025]],[[Sad ending - AGG 2025]],,
Demonic deception - AGG 2025,Demonic deception,"[[Demons keep the lovers apart - AGG 2025]], [[Witch's love enchantment - AGG 2025]]",,[[Meeting the Witch - AGG 2025]],[[Unbewegte laue Luft Op. 57 n.8]],"[[deception]], [[infatuation]], [[charm]]","The strange bird disappears from Sasha’s view. Suddenly, a hooded figure appears from the point at which the bird vanished. The wanderer is revealed as Ymir, a lady with pale skin and untamed scarlet curls. ","The character feels uneasy  and tries to leave their new companion, realizing that Ymir has fallen in love with them.","The character is charmed by  the unnatural beauty  of Ymir, desperately  falling in love with them.",[[Witch's love enchantment - AGG 2025]],[[Demons keep the lovers apart - AGG 2025]],,
Demons keep the lovers apart - AGG 2025,Demons keep the lovers apart,,[[Despair and homesickness. Giving up their dreams - AGG 2025]],[[Demonic deception - AGG 2025]],"[[Die Geister haben's vernommen]], [[Der Tod und das Mädchen D.531]]","[[ritual]], [[demon]], [[ghost]], [[destiny]], [[magic]]","The charming figure of Ymir leads Sasha to a ruined castle in the woods. As the gates of the castle open, a beautiful, brightly-lit garden is revealed. Fair ladies and courtiers of a forgotten time entice Sasha to join them. Sasha forgets all of their worries and the memory of their beloved Rune is merely a distant echo. ",Turn the spotlight to Rune.,,[[Despair and homesickness. Giving up their dreams - AGG 2025]],,,
Despair and homesickness. Giving up their dreams - AGG 2025,Despair and homesickness. Giving up their dreams,"[[Happy ending - AGG 2025]], [[Sad ending - AGG 2025]]",,"[[Witch's love enchantment - AGG 2025]], [[Moonlight -  AGG 2025]]","[[In der Fremde Op. 39 n. 1]], [[Ich stand in dunklen Traümen Op. 13 n.1]]",[[despair]],"After the horrifying experiences of the last hours, our character has despaired completely. Returning to the awful circumstances at home seems a better  choice than remaining here. ","While taking the road back to civilization, a distant figure attracts the character’s attention. Could it be their beloved one?","The agents of Rune’s evil tutor have found them, leaving Sasha only  with traces of horse hooves on the muddy  road,  and a fallen amulet, once being the symbol of their eternal promise of love.",[[Happy ending - AGG 2025]],[[Sad ending - AGG 2025]],,
Elf of the woods creates charming illusion - AGG 2025,Elf of the woods creates charming illusion,[[Falling asleep - AGG 2025]],[[Danse macabre - AGG 2025]],"[[Taking a ""shortcut"" - AGG 2025]]",[[Bedeckt mich mit Blumen IHW 32 n. 36]],"[[natural spirit]], [[elf]], [[enchantment]], [[illusion]]","Walking through the thick undergrowth, Sasha hears the sound of a small brook. While slaking their thirst, Sasha notices the ethereal sounds of an ancient song. The indistinguishable words of the song lead Sasha to a state of enchantment. While losing consciousness, a fairylike creature emerges from the water. ",Follow the story of Sasha.,Turn the spotlight to Rune.,[[Falling asleep - AGG 2025]],[[Danse macabre - AGG 2025]],,
Falling asleep - AGG 2025,Falling asleep,[[Mistrust of animals - AGG 2025]],,[[Elf of the woods creates charming illusion - AGG 2025]],[[Feldeinsamkeit Op. 86 n. 2]],"[[nature]], [[daylight]], [[dream]], [[sleep]]","The realm of consciousness is succeeded by the dimension of dreams. Exhausted, Sasha falls into deep sleep. Lying on a carpet of fallen leaves, Sasha is at the mercy of the elements and any hostile beings who may appear. ",Follow the story of Sasha.,,[[Mistrust of animals - AGG 2025]],,,
Falling unconscious from undead encounter - AGG 2025,Falling unconscious from undead encounter,,[[Mistrust of animals - AGG 2025]],[[Danse macabre - AGG 2025]],[[Totengräbers Heimweh D. 842]],"[[undead]], [[fainting]], [[ghost]]","The confrontation with the ancient spirit of the fallen knight tests Rune’s nerves and faith. Visions of their own sorrows and vicissitudes resonate with the knight’s tragic fate. They are joined by other spirits, who dance around them in mockery and slowly begin to drain their life-force. ",Turn the spotlight to Sasha.,,[[Mistrust of animals - AGG 2025]],,,
